[Name]
Heat Transfer

[Data]
"Accumulated Timestep","RMS H-Energy"
725,2.07431822e-06
726,2.05907918e-06
727,2.08785104e-06
728,2.12020518e-06
729,2.14690590e-06
730,2.39736414e-06
731,2.33649985e-06
732,2.13894850e-06
733,2.04032995e-06
734,2.02631486e-06
735,2.00144973e-06
736,2.18335003e-06
737,2.19503045e-06
738,2.17812044e-06
739,2.25288363e-06
740,2.40740292e-06
741,2.28824547e-06
742,2.11240786e-06
743,2.04219941e-06
744,2.00531008e-06
745,2.03753621e-06
746,2.09700192e-06
747,2.13632802e-06
748,2.11911652e-06
749,1.97217696e-06
750,2.04222965e-06
751,2.17142542e-06
752,2.06546611e-06
753,1.99054216e-06
754,2.02543015e-06
755,2.02210481e-06
756,2.04736602e-06
757,2.05470019e-06
758,2.01891862e-06
759,1.96455471e-06
760,2.06343475e-06
761,2.14493753e-06
762,2.24759424e-06
763,2.14502552e-06
764,2.06512050e-06
765,2.06634877e-06
766,2.04824687e-06
767,1.95413577e-06
768,1.93764413e-06
769,1.95241842e-06
770,1.99599208e-06
771,2.05229890e-06
772,2.02250385e-06
773,2.07563312e-06
774,2.18206242e-06
775,2.04126241e-06
776,2.16654689e-06
777,2.18803166e-06
778,2.04255980e-06
779,2.08260371e-06
780,2.01959415e-06
781,2.02890374e-06
782,2.07499579e-06
783,2.10313510e-06
784,2.20789821e-06
785,2.07469134e-06
786,2.02717047e-06
787,2.10348912e-06
788,2.18055288e-06
789,2.15116984e-06
790,2.21662594e-06
791,2.23349798e-06
792,2.24728956e-06
793,2.26224302e-06
794,2.26614202e-06
795,2.24248856e-06
796,2.31495255e-06
797,2.17065644e-06
798,2.19023832e-06
799,2.23706434e-06
800,2.28895124e-06
801,2.19218873e-06
802,2.02656429e-06
803,2.03378295e-06
804,2.03810168e-06
805,2.14874717e-06
806,2.17467618e-06
807,2.03155628e-06
808,2.07049743e-06
809,2.07498874e-06
810,2.01307921e-06
811,2.03731520e-06
812,2.09331438e-06
813,2.10341409e-06
814,1.98138650e-06
815,1.96135466e-06
816,2.07522226e-06
817,2.09392738e-06
818,2.03549416e-06
819,2.00759791e-06
820,1.98555631e-06
821,1.99771489e-06
822,2.10953249e-06
823,2.09684936e-06
824,2.13475755e-06
825,2.01530611e-06
826,2.10355188e-06
827,2.19172307e-06
828,2.13219914e-06
829,2.29243824e-06
830,2.07596918e-06
