[Name]
TurbKE and TurbFreq Quantities

[Data]
"Accumulated Timestep","MAX K-TurbKE","MAX O-TurbFreq"
423,6.02708860e-06,2.13034000e-05
424,7.66593530e-06,1.75576697e-05
425,8.58696148e-06,2.37697604e-05
426,6.43155818e-06,1.89721759e-05
427,7.61367892e-06,1.77513903e-05
428,8.71408520e-06,2.20423335e-05
429,7.10023369e-06,1.99522019e-05
430,8.72534110e-06,1.44463484e-05
431,7.57317048e-06,1.74277138e-05
432,9.21658284e-06,1.93479864e-05
433,6.56105294e-06,2.09413647e-05
434,1.08272570e-05,1.23174823e-05
435,8.63376954e-06,2.64282789e-05
436,7.50122581e-06,2.60686993e-05
437,7.49569790e-06,1.13915421e-05
438,1.13068154e-05,2.08138881e-05
439,7.19111040e-06,2.06667664e-05
440,7.57001862e-06,1.31752249e-05
441,6.62214143e-06,1.49368534e-05
442,7.21583046e-06,2.00503564e-05
443,6.80605535e-06,1.63552504e-05
444,9.78722710e-06,1.39935964e-05
445,5.85775115e-06,2.72820816e-05
446,6.57055352e-06,1.18765674e-05
447,8.35425908e-06,2.14005177e-05
448,6.38182746e-06,1.95317316e-05
449,7.05149023e-06,2.64850332e-05
450,7.17810190e-06,2.75746734e-05
451,7.23274570e-06,2.72321395e-05
452,7.46418664e-06,2.55470804e-05
453,9.45965439e-06,1.67144153e-05
454,6.53599272e-06,1.80255556e-05
455,8.88197610e-06,1.91335530e-05
456,7.53355744e-06,1.51677950e-05
457,1.05608688e-05,2.48358629e-05
458,7.70654697e-06,1.41681621e-05
459,9.99366330e-06,2.04401185e-05
460,1.12096450e-05,1.94611657e-05
461,5.93130699e-06,1.89803304e-05
462,1.29648060e-05,1.37196148e-05
463,9.73838723e-06,2.29955876e-05
464,6.69705696e-06,2.31696595e-05
465,7.66842732e-06,2.03835953e-05
466,7.29207022e-06,2.26490283e-05
467,8.57509713e-06,2.78833595e-05
468,8.12590861e-06,1.78818536e-05
469,1.50422848e-05,1.75720543e-05
470,5.69080885e-06,1.84411656e-05
471,7.25596510e-06,2.29154630e-05
472,7.43407645e-06,2.30276946e-05
473,7.68661448e-06,2.00585218e-05
474,6.60759088e-06,2.46810614e-05
475,8.51286222e-06,1.42053568e-05
476,7.04484819e-06,1.67781564e-05
477,7.06175251e-06,1.75863661e-05
478,6.11735868e-06,1.26806726e-05
479,8.71326210e-06,1.86565412e-05
480,8.91519994e-06,1.34802649e-05
481,8.02705290e-06,2.58553973e-05
482,7.21638344e-06,1.93229880e-05
483,1.26769182e-05,1.58703951e-05
484,6.47721299e-06,3.02783101e-05
485,6.81928168e-06,1.56661408e-05
486,1.41856708e-05,2.31330905e-05
487,8.54233258e-06,2.45540796e-05
488,1.00653169e-05,1.96734745e-05
489,7.26988583e-06,1.68959286e-05
490,8.50192919e-06,3.08974486e-05
491,8.77956336e-06,1.95681587e-05
492,1.10198343e-05,2.52052050e-05
493,6.70020836e-06,2.06234999e-05
494,6.51655591e-06,1.95536286e-05
495,8.19617162e-06,1.90819028e-05
496,9.10257313e-06,1.64928406e-05
497,9.22350500e-06,1.62955039e-05
498,7.34019522e-06,1.47909723e-05
499,8.14702071e-06,1.53865258e-05
500,6.54295036e-06,1.33707808e-05
501,8.31179022e-06,1.66215832e-05
502,9.05624711e-06,1.90489227e-05
503,8.75346359e-06,1.98977486e-05
504,7.67588153e-06,2.03652962e-05
505,6.69475139e-06,2.98829545e-05
506,8.05848231e-06,2.27350902e-05
507,7.11305620e-06,1.06990301e-05
508,6.98115764e-06,1.68407587e-05
509,7.43506052e-06,2.41955368e-05
510,9.70115070e-06,3.22321830e-05
511,7.66648373e-06,1.86784255e-05
512,8.11996142e-06,2.12728282e-05
513,8.51897039e-06,2.47186017e-05
514,7.20816934e-06,2.33032024e-05
515,8.01455099e-06,1.32312935e-05
516,8.63903915e-06,2.17677007e-05
517,8.30118734e-06,1.61687840e-05
518,9.29993075e-06,2.10501439e-05
519,8.01366605e-06,1.26616733e-05
520,8.93643664e-06,2.64048704e-05
521,8.22223410e-06,2.23156003e-05
522,7.22814138e-06,1.88180165e-05
523,7.17486046e-06,2.02127576e-05
524,1.06514544e-05,1.96446963e-05
525,7.46772093e-06,2.73968380e-05
526,6.82355949e-06,2.44956809e-05
527,8.30659701e-06,1.53392793e-05
528,8.89034345e-06,1.66509690e-05
529,8.27550866e-06,2.37294680e-05
530,6.59318493e-06,2.43966279e-05
531,7.53919358e-06,1.78637292e-05
532,6.57325927e-06,2.31179201e-05
533,9.04671651e-06,1.66010886e-05
534,6.98282156e-06,1.43594589e-05
535,7.34890091e-06,1.92161751e-05
536,6.42403938e-06,2.44345410e-05
537,8.72496003e-06,2.59518965e-05
538,6.90067645e-06,2.16044773e-05
539,7.53338009e-06,1.43422558e-05
540,8.27912208e-06,2.55592931e-05
541,1.02851254e-05,3.82837316e-05
542,9.94476613e-06,2.23715397e-05
543,9.32624152e-06,1.77545990e-05
544,1.08298436e-05,1.47896308e-05
545,1.13581846e-05,1.92828447e-05
546,1.25619790e-05,1.73421467e-05
547,1.44442956e-05,3.14246281e-05
548,8.81976848e-06,2.83733334e-05
549,1.22805868e-05,1.42641156e-05
550,1.32392915e-05,1.80742209e-05
551,1.28156335e-05,1.76094509e-05
552,1.04823221e-05,3.72180075e-05
553,9.49043533e-06,2.16276876e-05
554,8.97218342e-06,1.52410967e-05
555,8.32933074e-06,2.00943450e-05
556,8.94469849e-06,1.70438670e-05
557,1.03408192e-05,2.00703143e-05
558,9.30043007e-06,1.76602898e-05
559,8.93066681e-06,1.91254403e-05
560,9.18146543e-06,3.25562578e-05
561,6.81061692e-06,2.46902928e-05
562,8.76048307e-06,3.07418413e-05
563,7.65590903e-06,1.54472345e-05
564,8.97704922e-06,1.72000728e-05
565,7.77142122e-06,1.24939816e-05
566,7.39692268e-06,2.18106670e-05
567,8.03873172e-06,1.51309587e-05
568,6.95758081e-06,1.74703873e-05
569,7.92470473e-06,1.48294021e-05
570,7.13392365e-06,1.70709518e-05
571,7.17839384e-06,2.12742470e-05
572,7.31406317e-06,2.00871636e-05
573,7.49692890e-06,2.36414362e-05
574,8.68159077e-06,2.80020704e-05
575,8.25706593e-06,1.42403997e-05
576,8.62840534e-06,1.81463147e-05
577,8.24614017e-06,1.71921401e-05
578,8.20333753e-06,2.26404482e-05
579,8.62345314e-06,1.61947773e-05
580,1.00110392e-05,2.25456333e-05
581,8.94543518e-06,2.41552025e-05
582,9.70755900e-06,1.50001724e-05
583,7.48270304e-06,2.63808652e-05
584,8.62966772e-06,1.32104115e-05
585,9.77207856e-06,1.41500796e-05
586,8.02599334e-06,2.89867858e-05
587,9.33772480e-06,2.16611370e-05
588,8.76487047e-06,1.42015188e-05
589,7.80970913e-06,1.74170800e-05
590,1.30008621e-05,2.24391588e-05
591,8.93323795e-06,1.65745350e-05
592,9.06918467e-06,1.42073186e-05
593,8.42248664e-06,1.62285050e-05
594,8.12818962e-06,1.72608125e-05
595,9.16175122e-06,1.56471669e-05
596,8.18956323e-06,1.71718057e-05
597,9.58898454e-06,1.49860534e-05
598,9.77193577e-06,1.89222228e-05
599,1.51875602e-05,1.69519717e-05
600,1.30631479e-05,2.41005528e-05
601,1.26600780e-05,2.08164674e-05
602,1.42900190e-05,1.90040137e-05
603,1.22962028e-05,2.40465306e-05
604,9.99438907e-06,2.52940590e-05
605,9.77236596e-06,3.13874189e-05
606,1.06251218e-05,1.42169110e-05
607,8.08165805e-06,2.75007933e-05
608,1.11652726e-05,2.09117497e-05
609,1.04680830e-05,1.57211089e-05
610,1.14489603e-05,1.54970876e-05
611,1.24394737e-05,2.43548329e-05
612,1.15602588e-05,1.79172530e-05
613,1.03801049e-05,2.25074582e-05
614,9.46414093e-06,2.20786969e-05
615,8.27512122e-06,1.73781718e-05
616,8.71224984e-06,1.31270190e-05
617,8.48479340e-06,1.36786839e-05
618,9.09077698e-06,2.31589820e-05
619,8.78485298e-06,1.94349341e-05
620,8.17195178e-06,1.87673013e-05
621,8.55089547e-06,1.71976990e-05
622,7.83012092e-06,2.08326510e-05
623,9.16258796e-06,1.76203957e-05
624,1.11157015e-05,1.40761622e-05
625,9.40381869e-06,1.72382279e-05
626,8.37229254e-06,1.74130837e-05
627,8.22077254e-06,1.55851758e-05
628,7.95085271e-06,2.09575428e-05
629,8.29984401e-06,2.00871891e-05
630,9.68127915e-06,1.60594154e-05
631,8.23311530e-06,1.69486502e-05
632,8.38982032e-06,2.97613169e-05
633,8.09093763e-06,2.67467640e-05
634,9.28268037e-06,1.74834968e-05
635,8.51473305e-06,2.71852878e-05
636,9.91216348e-06,1.78941282e-05
637,1.20153309e-05,1.68267452e-05
638,8.80572861e-06,2.48709839e-05
639,9.19550439e-06,2.16496392e-05
640,9.07171125e-06,2.12480409e-05
641,1.03232251e-05,2.48298256e-05
642,8.36846812e-06,1.90050032e-05
643,8.99581755e-06,2.06758759e-05
644,9.45044394e-06,2.90214630e-05
645,9.16206591e-06,3.17133381e-05
646,9.47451827e-06,2.15675664e-05
647,9.78615935e-06,1.78096761e-05
648,8.57083160e-06,1.55801026e-05
649,8.47830233e-06,1.51277172e-05
650,8.68602910e-06,1.49791449e-05
651,8.12410144e-06,1.62752021e-05
652,9.90486205e-06,1.78835435e-05
653,8.64116191e-06,1.77866368e-05
654,8.72373766e-06,2.62514513e-05
655,8.14328268e-06,1.31217184e-05
656,9.45047486e-06,1.59942938e-05
657,8.62278648e-06,3.02168592e-05
658,8.71920747e-06,1.42622966e-05
659,1.04307564e-05,2.00681607e-05
660,9.77396758e-06,2.30964579e-05
661,1.09512366e-05,2.03182335e-05
662,1.06516354e-05,2.44033708e-05
663,1.08914619e-05,1.99967344e-05
664,1.27466756e-05,1.60352247e-05
665,1.26622444e-05,1.73845838e-05
666,1.03751490e-05,1.33670137e-05
667,1.01019550e-05,1.86731140e-05
668,1.27127978e-05,2.00545492e-05
669,1.48192103e-05,1.72988075e-05
