[Name]
Heat Transfer

[Data]
"Accumulated Timestep","RMS H-Energy"
478,1.37876089e-06
479,1.43162697e-06
480,1.52425184e-06
481,1.68370593e-06
482,1.80789107e-06
483,1.89795264e-06
484,2.05319839e-06
485,2.00304748e-06
486,1.68820225e-06
487,1.47828337e-06
488,1.42918066e-06
489,1.39265103e-06
490,1.26515863e-06
491,1.24837425e-06
492,1.28773968e-06
493,1.37505378e-06
494,1.40807936e-06
495,1.46638922e-06
496,1.54371253e-06
497,1.54392274e-06
498,1.55527732e-06
499,1.43574459e-06
500,1.49831828e-06
501,1.36425331e-06
502,1.42032980e-06
503,1.48631625e-06
504,1.60907007e-06
505,1.83136535e-06
506,2.04124240e-06
507,2.13381077e-06
508,1.87359035e-06
509,1.65311019e-06
510,1.57970328e-06
511,1.41814485e-06
512,1.39877500e-06
513,1.33780782e-06
514,1.25459030e-06
515,1.28253532e-06
516,1.35448943e-06
517,1.42827651e-06
518,1.46601610e-06
519,1.54181362e-06
520,1.62766275e-06
521,1.65367737e-06
522,1.51651136e-06
523,1.50527512e-06
524,1.37688687e-06
525,1.44099465e-06
526,1.51925485e-06
527,1.67329290e-06
528,1.83402415e-06
529,1.94500285e-06
530,2.02007004e-06
531,1.79338485e-06
532,1.67879512e-06
533,1.68544955e-06
534,1.43456475e-06
535,1.48673007e-06
536,1.41386420e-06
537,1.27543274e-06
538,1.29519196e-06
539,1.31951390e-06
540,1.37646794e-06
541,1.45495221e-06
542,1.48771051e-06
543,1.49779385e-06
544,1.53576468e-06
545,1.52085465e-06
546,1.50372432e-06
547,1.45293836e-06
548,1.38966698e-06
549,1.45579793e-06
550,1.54203269e-06
551,1.72119542e-06
552,1.95098619e-06
553,2.16935223e-06
554,2.12938585e-06
555,1.97804161e-06
556,1.80781274e-06
557,1.69958332e-06
558,1.42418708e-06
559,1.44383444e-06
560,1.28082320e-06
561,1.26947407e-06
562,1.30930721e-06
563,1.37370580e-06
564,1.40053533e-06
565,1.43961063e-06
566,1.45717490e-06
567,1.54233237e-06
568,1.52040434e-06
569,1.42379793e-06
570,1.45817114e-06
571,1.37391044e-06
572,1.44964713e-06
573,1.54588486e-06
574,1.71192630e-06
575,1.92385414e-06
576,2.03663399e-06
577,2.02423098e-06
578,1.96069573e-06
579,1.67233463e-06
580,1.61841649e-06
581,1.40929160e-06
582,1.44408057e-06
583,1.37426139e-06
584,1.26317320e-06
585,1.28813826e-06
586,1.30732008e-06
587,1.37985558e-06
588,1.43577984e-06
589,1.48060883e-06
590,1.52733776e-06
591,1.54470752e-06
592,1.44339674e-06
593,1.46033256e-06
594,1.35796836e-06
595,1.42409556e-06
596,1.51979430e-06
597,1.62396179e-06
598,1.84437363e-06
599,1.92003949e-06
600,2.01729949e-06
601,1.83376881e-06
602,1.67107396e-06
603,1.56856856e-06
604,1.42822614e-06
605,1.48124252e-06
606,1.38762857e-06
607,1.24570124e-06
608,1.28494889e-06
609,1.31414174e-06
610,1.34646962e-06
611,1.42173280e-06
612,1.45667912e-06
613,1.48481683e-06
614,1.52121982e-06
615,1.45300965e-06
616,1.45231422e-06
617,1.41211956e-06
618,1.40726877e-06
619,1.47387993e-06
620,1.61728633e-06
621,1.72336217e-06
622,2.04642333e-06
623,2.20819516e-06
624,2.15612249e-06
625,2.00306954e-06
626,1.80933091e-06
627,1.72111902e-06
628,1.42707506e-06
629,1.44633680e-06
630,1.29237344e-06
631,1.25891040e-06
632,1.28605291e-06
633,1.36066831e-06
634,1.39498798e-06
635,1.49106097e-06
636,1.57216994e-06
637,1.66074346e-06
638,1.61451442e-06
639,1.51978395e-06
640,1.58644264e-06
641,1.40959469e-06
642,1.43021589e-06
643,1.50304891e-06
644,1.61052265e-06
645,1.84975204e-06
646,2.09752420e-06
647,2.09872906e-06
648,1.85589374e-06
649,1.71573788e-06
650,1.72732564e-06
651,1.44271576e-06
652,1.44303124e-06
653,1.34696586e-06
654,1.26731504e-06
655,1.30107651e-06
656,1.33619994e-06
657,1.36138920e-06
658,1.41548628e-06
659,1.49013249e-06
660,1.59138528e-06
661,1.63511504e-06
662,1.53521682e-06
663,1.54283725e-06
664,1.43130899e-06
665,1.42954650e-06
666,1.48252502e-06
667,1.63510970e-06
668,1.80061238e-06
669,1.94637528e-06
670,2.03019863e-06
671,1.98999692e-06
672,1.73235185e-06
673,1.63705056e-06
674,1.40931843e-06
675,1.53743247e-06
676,1.39592692e-06
677,1.25289489e-06
678,1.27713622e-06
679,1.31768888e-06
680,1.34958862e-06
681,1.43094655e-06
682,1.47509445e-06
683,1.51631070e-06
684,1.55194448e-06
685,1.50039170e-06
686,1.49885477e-06
687,1.47577236e-06
688,1.39554004e-06
689,1.46637194e-06
690,1.55351336e-06
691,1.72273394e-06
692,1.94609379e-06
693,2.09313703e-06
