[Name]
TurbKE and TurbFreq Quantities

[Data]
"Accumulated Timestep","RMS K-TurbKE","RMS O-TurbFreq"
225,1.54438067e-06,9.61791784e-07
226,1.51303516e-06,1.14141756e-06
227,1.57314935e-06,1.32129480e-06
228,1.63452864e-06,1.35651328e-06
229,1.57175850e-06,1.39247118e-06
230,1.62584945e-06,1.37128757e-06
231,1.59932029e-06,1.43013699e-06
232,1.59470267e-06,1.34487573e-06
233,1.58216505e-06,1.30181900e-06
234,1.56700844e-06,1.27555438e-06
235,1.54069767e-06,1.05409276e-06
236,1.50474466e-06,9.64112587e-07
237,1.45671390e-06,7.06875483e-07
238,1.40295435e-06,6.94554274e-07
239,1.37040388e-06,9.45045031e-07
240,1.39241729e-06,1.21342998e-06
241,1.45801800e-06,1.55301393e-06
242,1.54205020e-06,1.81372138e-06
243,1.62809283e-06,1.84896339e-06
244,1.67597216e-06,1.78927780e-06
245,1.67029805e-06,1.49741413e-06
246,1.63777918e-06,1.15713931e-06
247,1.53977794e-06,8.12344240e-07
248,1.43599664e-06,6.94701555e-07
249,1.36382687e-06,7.12530834e-07
250,1.32637751e-06,8.52796404e-07
251,1.33431593e-06,1.04823323e-06
252,1.37833456e-06,1.15100192e-06
253,1.51544589e-06,1.25955171e-06
254,1.51428901e-06,1.30545936e-06
255,1.58287526e-06,1.33323670e-06
256,1.64187259e-06,1.32953051e-06
257,1.68714359e-06,1.28298279e-06
258,1.71046383e-06,1.24697260e-06
259,1.71747729e-06,1.11124234e-06
260,1.70653277e-06,9.74091904e-07
261,1.67559097e-06,7.78863182e-07
262,1.63398181e-06,6.51403639e-07
263,1.59997012e-06,7.57650071e-07
264,1.59202557e-06,1.06410926e-06
265,1.62046251e-06,1.41493558e-06
266,1.68119766e-06,1.68919451e-06
267,1.74625711e-06,1.84038936e-06
268,1.77023003e-06,1.80074107e-06
269,1.75352648e-06,1.59494118e-06
270,1.66893210e-06,1.25114525e-06
271,1.56158819e-06,9.01835165e-07
272,1.42126248e-06,7.01305055e-07
273,1.28956538e-06,7.05640673e-07
274,1.18925630e-06,8.65715947e-07
275,1.14203306e-06,1.03750824e-06
276,1.15157741e-06,1.19324807e-06
277,1.16200715e-06,1.30376634e-06
278,1.19565368e-06,1.37581742e-06
279,1.22610345e-06,1.42412603e-06
280,1.25028225e-06,1.43415627e-06
281,1.25924589e-06,1.39930467e-06
282,1.25745055e-06,1.34387858e-06
283,1.23433654e-06,1.21316373e-06
284,1.18893126e-06,9.95192181e-07
285,1.11112922e-06,7.32100546e-07
286,1.00535749e-06,4.85145392e-07
287,8.97512678e-07,5.97631583e-07
288,8.47434023e-07,1.04008882e-06
289,9.28577833e-07,1.51936592e-06
290,1.09009545e-06,1.90243406e-06
291,1.26734005e-06,2.09827908e-06
292,1.37789789e-06,2.05226524e-06
293,1.41833539e-06,1.78540631e-06
294,1.35047856e-06,1.34030586e-06
295,1.20733193e-06,8.37718233e-07
296,1.03056232e-06,3.16914623e-07
297,8.32543549e-07,3.94234519e-07
298,6.86363364e-07,7.17303067e-07
299,6.44838167e-07,9.80355935e-07
300,6.74688692e-07,1.17256468e-06
301,7.70132090e-07,1.31211698e-06
302,8.85150257e-07,1.40490840e-06
303,9.92101832e-07,1.47115588e-06
304,1.08058521e-06,1.50120957e-06
305,1.14421368e-06,1.49383141e-06
306,1.18397952e-06,1.43538909e-06
307,1.19293475e-06,1.28566751e-06
308,1.16781121e-06,1.06917901e-06
309,1.09822690e-06,7.02077671e-07
310,9.80492587e-07,2.59930715e-07
311,8.55236067e-07,5.79352729e-07
312,8.21371486e-07,1.28322222e-06
313,9.85557449e-07,1.95191842e-06
314,1.27793555e-06,2.45349565e-06
315,1.53378210e-06,2.67230848e-06
316,1.69699513e-06,2.56563794e-06
317,1.70558565e-06,2.15259774e-06
318,1.60543561e-06,1.52344069e-06
319,1.40943439e-06,7.92220476e-07
320,1.17313550e-06,2.66791886e-07
321,9.24603683e-07,5.67837333e-07
322,7.41809743e-07,9.68319682e-07
323,7.25179859e-07,1.24093265e-06
324,8.19159311e-07,1.41959754e-06
325,8.93282902e-07,1.53521285e-06
326,1.02412207e-06,1.61739206e-06
327,1.14406953e-06,1.66938173e-06
328,1.24069072e-06,1.70380088e-06
329,1.31324703e-06,1.72530986e-06
330,1.36199162e-06,1.64699372e-06
331,1.37861946e-06,1.49120308e-06
332,1.35415394e-06,1.22209462e-06
333,1.26604743e-06,7.36350444e-07
334,1.13271255e-06,2.08838586e-07
335,9.97252869e-07,9.05914533e-07
336,1.00873558e-06,1.83669204e-06
337,1.27487726e-06,2.67378391e-06
338,1.65284905e-06,3.21073958e-06
339,1.96895962e-06,3.35476125e-06
340,2.09813879e-06,3.01696468e-06
341,2.05785159e-06,2.35093489e-06
342,1.87548176e-06,1.45132231e-06
343,1.60772265e-06,5.59180307e-07
344,1.26148291e-06,4.76284697e-07
345,1.00126965e-06,1.01036517e-06
346,8.36787365e-07,1.36038545e-06
347,8.78099058e-07,1.55808755e-06
348,9.92014861e-07,1.66493248e-06
349,1.09086909e-06,1.74030936e-06
350,1.21867424e-06,1.79267670e-06
351,1.33168589e-06,1.84912403e-06
352,1.42858903e-06,1.90005130e-06
353,1.49958407e-06,1.92244420e-06
354,1.54568215e-06,1.87444846e-06
355,1.57351064e-06,1.69866087e-06
356,1.54223858e-06,1.34092227e-06
357,1.44577723e-06,8.05741365e-07
358,1.29415025e-06,3.02031850e-07
359,1.14945624e-06,1.31020988e-06
360,1.24220230e-06,2.44152216e-06
361,1.59210981e-06,3.39802432e-06
362,2.04470280e-06,3.93454320e-06
363,2.36345500e-06,3.90544074e-06
364,2.46362220e-06,3.32172567e-06
365,2.34990443e-06,2.34265644e-06
366,2.09778113e-06,1.26523764e-06
367,1.71894999e-06,3.54550338e-07
368,1.40601799e-06,9.32256739e-07
369,1.09700613e-06,1.43880254e-06
370,9.34918091e-07,1.67020733e-06
371,1.21735559e-06,1.77649736e-06
372,1.12971190e-06,1.82597216e-06
373,1.25245924e-06,1.86870091e-06
374,1.38110738e-06,1.92337552e-06
375,1.49246728e-06,1.99848660e-06
376,1.59011483e-06,2.06174013e-06
377,1.66163534e-06,2.10995699e-06
378,1.72144439e-06,2.09565633e-06
379,1.74728893e-06,1.85006866e-06
380,1.71125987e-06,1.40129464e-06
381,1.59698732e-06,6.52113272e-07
382,1.43038426e-06,5.56352632e-07
383,1.31001309e-06,1.86122509e-06
384,1.49860057e-06,3.19387027e-06
385,1.98034263e-06,4.20434844e-06
386,2.49420964e-06,4.61987520e-06
387,2.77476261e-06,4.31175113e-06
388,2.79425603e-06,3.31840556e-06
