[Name]
Heat Transfer

[Data]
"Accumulated Timestep","RMS H-Energy"
254,5.41855406e-04
255,4.51618456e-04
256,4.20389202e-04
257,4.06596810e-04
258,4.15473973e-04
259,4.39497671e-04
260,4.62209777e-04
261,5.00859867e-04
262,5.44548617e-04
263,5.80133463e-04
264,6.02305110e-04
265,6.24523731e-04
266,6.43480453e-04
267,6.56434859e-04
268,6.61118422e-04
269,6.36046752e-04
270,6.00771629e-04
271,5.86479902e-04
272,5.77589090e-04
273,5.56159881e-04
274,5.43111586e-04
275,5.36457577e-04
276,5.50751691e-04
277,5.67891635e-04
278,5.79333922e-04
279,6.03946915e-04
280,6.60751131e-04
281,7.02152262e-04
282,6.64367399e-04
283,6.25212735e-04
284,6.32440788e-04
285,6.23382221e-04
286,6.21794490e-04
287,6.20984414e-04
288,6.31554401e-04
289,6.54802949e-04
290,6.71915303e-04
291,6.70870650e-04
292,6.71731192e-04
293,6.94431772e-04
294,7.09084037e-04
295,7.12350942e-04
296,7.27796287e-04
297,7.53287110e-04
298,8.04931507e-04
299,8.18369910e-04
300,7.90070044e-04
301,7.09650456e-04
302,6.31857547e-04
303,6.03560766e-04
304,6.17901038e-04
305,6.20062230e-04
306,6.24260632e-04
307,6.31207251e-04
308,6.35157747e-04
309,5.95022808e-04
310,5.75714395e-04
311,5.76866907e-04
312,5.68487856e-04
313,5.66868635e-04
314,5.41128102e-04
315,5.19946101e-04
316,4.97338246e-04
317,4.95279208e-04
318,4.79140552e-04
319,4.54523310e-04
320,4.44167381e-04
321,4.37478826e-04
322,4.46752849e-04
323,4.78631991e-04
324,5.10690094e-04
325,5.55200037e-04
326,5.53134072e-04
327,5.44836745e-04
328,5.19156398e-04
329,5.48575597e-04
330,6.08749047e-04
331,5.76495018e-04
332,5.45341405e-04
333,5.41167567e-04
334,5.62826695e-04
335,5.45753457e-04
336,5.45007118e-04
337,5.18600747e-04
338,4.93599451e-04
339,4.63515986e-04
340,4.41338110e-04
341,4.49750281e-04
342,4.65390331e-04
343,4.66513651e-04
344,4.74839180e-04
345,4.64740733e-04
346,4.70915344e-04
347,4.32683068e-04
348,3.96109244e-04
349,3.71650240e-04
350,3.48154659e-04
351,3.39788239e-04
352,3.38958547e-04
353,3.43860942e-04
354,3.55032680e-04
355,3.72353592e-04
356,3.98218486e-04
357,4.29367006e-04
358,5.42538124e-04
359,5.98092098e-04
360,6.10450457e-04
361,5.94612968e-04
362,6.14431105e-04
363,6.22914173e-04
364,6.02158310e-04
365,6.64915890e-04
366,6.54021977e-04
367,6.12292439e-04
368,6.22546300e-04
369,6.14879595e-04
370,6.01810811e-04
371,5.76104037e-04
372,5.81952278e-04
373,5.61447116e-04
374,5.31336002e-04
375,5.13557286e-04
376,4.97073866e-04
377,4.58989176e-04
378,4.56100708e-04
379,4.43997124e-04
380,4.20708850e-04
381,4.16069350e-04
382,4.23034449e-04
383,4.02436301e-04
384,3.88496846e-04
385,3.92530783e-04
386,3.78921017e-04
387,3.64109059e-04
388,3.67275556e-04
389,3.56805656e-04
390,3.48044618e-04
391,3.46555928e-04
392,3.41569626e-04
393,3.35020304e-04
394,3.30687617e-04
395,3.23340995e-04
396,3.23729764e-04
397,3.13312368e-04
398,2.94064113e-04
399,2.83373607e-04
400,2.73236161e-04
401,2.62496411e-04
402,2.55277613e-04
403,2.49370671e-04
404,2.48312688e-04
405,2.46146345e-04
406,2.44135255e-04
407,2.41237984e-04
408,2.41277405e-04
409,2.42195412e-04
410,2.44165072e-04
411,2.44712341e-04
412,2.45865493e-04
413,2.45768926e-04
414,2.49586272e-04
415,2.47812335e-04
416,2.51649995e-04
417,2.49274919e-04
418,2.50771845e-04
419,2.49910721e-04
420,2.50229205e-04
421,2.49725912e-04
422,2.48855999e-04
423,2.48338038e-04
424,2.47641146e-04
425,2.46293173e-04
426,2.45502510e-04
427,2.45238043e-04
428,2.45851377e-04
429,2.44645489e-04
430,2.42456532e-04
431,2.40686029e-04
432,2.39860427e-04
