[Name]
Plot Monitor 1

[Data]
"Accumulated Timestep","U-Mom Boundary Flow on INLET"
697,6.46045812e+05
698,6.46046438e+05
699,6.46047062e+05
700,6.46047625e+05
701,6.46048250e+05
702,6.46048875e+05
703,6.46049438e+05
704,6.46050062e+05
705,6.46050625e+05
706,6.46051188e+05
707,6.46051750e+05
708,6.46052375e+05
709,6.46052938e+05
710,6.46053500e+05
711,6.46054000e+05
712,6.46054562e+05
713,6.46055125e+05
714,6.46055688e+05
715,6.46056188e+05
716,6.46056750e+05
717,6.46057250e+05
718,6.46057750e+05
719,6.46058250e+05
720,6.46058812e+05
721,6.46059312e+05
722,6.46059750e+05
723,6.46060250e+05
724,6.46060750e+05
725,6.46061250e+05
726,6.46061688e+05
727,6.46062125e+05
728,6.46062625e+05
729,6.46063062e+05
730,6.46063500e+05
731,6.46063938e+05
732,6.46064375e+05
733,6.46064750e+05
734,6.46065188e+05
735,6.46065625e+05
736,6.46066000e+05
737,6.46066375e+05
738,6.46066750e+05
739,6.46067188e+05
740,6.46067562e+05
741,6.46067938e+05
742,6.46068250e+05
743,6.46068625e+05
744,6.46069000e+05
745,6.46069312e+05
746,6.46069688e+05
747,6.46070000e+05
748,6.46070312e+05
749,6.46070625e+05
750,6.46070938e+05
751,6.46071250e+05
752,6.46071562e+05
753,6.46071812e+05
754,6.46072125e+05
755,6.46072375e+05
756,6.46072688e+05
757,6.46072938e+05
758,6.46073188e+05
759,6.46073438e+05
760,6.46073688e+05
761,6.46073938e+05
762,6.46074125e+05
763,6.46074375e+05
764,6.46074562e+05
765,6.46074812e+05
766,6.46075000e+05
767,6.46075188e+05
768,6.46075438e+05
769,6.46075625e+05
770,6.46075812e+05
771,6.46076000e+05
772,6.46076188e+05
773,6.46076375e+05
774,6.46076562e+05
775,6.46076750e+05
776,6.46076938e+05
777,6.46077062e+05
778,6.46077250e+05
779,6.46077438e+05
780,6.46077625e+05
781,6.46077812e+05
782,6.46078000e+05
783,6.46078188e+05
784,6.46078375e+05
785,6.46078562e+05
786,6.46078750e+05
787,6.46078938e+05
788,6.46079188e+05
789,6.46079375e+05
790,6.46079562e+05
791,6.46079750e+05
792,6.46080000e+05
793,6.46080188e+05
794,6.46080438e+05
795,6.46080625e+05
796,6.46080875e+05
797,6.46081062e+05
798,6.46081312e+05
799,6.46081562e+05
800,6.46081812e+05
801,6.46082062e+05
802,6.46082312e+05
803,6.46082562e+05
804,6.46082812e+05
805,6.46083062e+05
806,6.46083312e+05
807,6.46083625e+05
808,6.46083875e+05
809,6.46084188e+05
810,6.46084438e+05
811,6.46084750e+05
812,6.46085000e+05
813,6.46085312e+05
814,6.46085625e+05
815,6.46085875e+05
816,6.46086188e+05
817,6.46086500e+05
818,6.46086812e+05
819,6.46087125e+05
820,6.46087438e+05
821,6.46087750e+05
822,6.46088000e+05
823,6.46088375e+05
824,6.46088688e+05
825,6.46089000e+05
826,6.46089312e+05
827,6.46089625e+05
828,6.46089938e+05
829,6.46090250e+05
830,6.46090625e+05
831,6.46090938e+05
832,6.46091250e+05
833,6.46091625e+05
834,6.46091938e+05
835,6.46092312e+05
836,6.46092625e+05
837,6.46093000e+05
838,6.46093312e+05
839,6.46093688e+05
840,6.46094000e+05
841,6.46094375e+05
842,6.46094688e+05
843,6.46095062e+05
844,6.46095438e+05
845,6.46095750e+05
846,6.46096125e+05
847,6.46096500e+05
848,6.46096812e+05
