[Name]
Series 1 at PressurePorts

[Data]
X [ m ],Cp [ m s^-1 ]
1.80307075e-001, -1.11075211e+000
1.82458758e-001, -1.11266553e+000
1.84610337e-001, -1.11454153e+000
1.86717585e-001, -1.11640143e+000
1.88824728e-001, -1.11826777e+000
1.90917000e-001, -1.12015438e+000
1.93009153e-001, -1.12208223e+000
1.95071712e-001, -1.12405193e+000
1.97134122e-001, -1.12605822e+000
1.99166924e-001, -1.12809348e+000
2.01199576e-001, -1.13015401e+000
2.03232065e-001, -1.13223970e+000
2.05264390e-001, -1.13434935e+000
2.07267076e-001, -1.13645124e+000
2.09269598e-001, -1.13849235e+000
2.11271927e-001, -1.14034426e+000
2.13274062e-001, -1.14175797e+000
2.15261251e-001, -1.14236772e+000
2.17248246e-001, -1.14236093e+000
2.19235003e-001, -1.14064121e+000
2.21221521e-001, -1.13536799e+000
2.23193079e-001, -1.12405300e+000
2.25164384e-001, -1.10278630e+000
2.27135435e-001, -1.06622612e+000
2.29106188e-001, -1.00951326e+000
2.31091365e-001, -9.32106018e-001
2.33076245e-001, -8.43626142e-001
2.35046118e-001, -7.60971785e-001
2.37015665e-001, -6.94106758e-001
2.38984898e-001, -6.46175206e-001
2.40953788e-001, -6.13386333e-001
2.42922321e-001, -5.92080534e-001
2.44890481e-001, -5.80663860e-001
2.46858269e-001, -5.76283514e-001
2.48825669e-001, -5.75699687e-001
2.50792682e-001, -5.76315701e-001
2.52759278e-001, -5.76753438e-001
2.54740119e-001, -5.75668395e-001
2.56720543e-001, -5.70117056e-001
2.58700520e-001, -5.60955524e-001
2.60680079e-001, -5.50723076e-001
2.62673825e-001, -5.41450858e-001
2.64667124e-001, -5.34178972e-001
2.66659975e-001, -5.28783083e-001
2.68652350e-001, -5.24519622e-001
2.70644248e-001, -5.20534217e-001
2.72635728e-001, -5.16152859e-001
2.74641365e-001, -5.10975242e-001
2.76646525e-001, -5.05008042e-001
2.78665870e-001, -4.98358250e-001
2.80684739e-001, -4.91283417e-001
2.82717764e-001, -4.83901024e-001
2.84750313e-001, -4.76419598e-001
2.86797047e-001, -4.68912482e-001
2.88843274e-001, -4.61540699e-001
2.90903628e-001, -4.54292178e-001
2.92963505e-001, -4.47195351e-001
2.95052081e-001, -4.40051585e-001
2.97140181e-001, -4.32842314e-001
2.99256980e-001, -4.25343335e-001
3.01373243e-001, -4.17633146e-001
3.03503603e-001, -4.09684002e-001
3.05633456e-001, -4.01634514e-001
3.07791919e-001, -3.93451005e-001
3.09949845e-001, -3.85315776e-001
3.12150955e-001, -3.77071321e-001
3.14351529e-001, -3.68870288e-001
3.16609800e-001, -3.60428214e-001
3.18867475e-001, -3.51934046e-001
3.21168214e-001, -3.43168169e-001
3.23468328e-001, -3.34316850e-001
3.25840592e-001, -3.25114846e-001
3.28212142e-001, -3.15896332e-001
3.30670267e-001, -3.06284666e-001
3.33127648e-001, -2.96623379e-001
3.35715115e-001, -2.86344171e-001
3.38301778e-001, -2.76019633e-001
3.41047406e-001, -2.64994234e-001
3.43792170e-001, -2.53989905e-001
3.46768260e-001, -2.42006078e-001
3.49743247e-001, -2.29993016e-001
3.52978230e-001, -2.16745406e-001


