[Name]
Series 1 at PressurePorts

[Data]
X [ m ],Cp [ m s^-1 ]
8.63815695e-002, -9.90937352e-001
8.92028883e-002, -9.93287623e-001
9.20737013e-002, -9.95781243e-001
9.49450806e-002, -9.98385251e-001
9.78612304e-002, -1.00104094e+000
1.00777857e-001, -1.00379562e+000
1.03734463e-001, -1.00664461e+000
1.06691487e-001, -1.00961542e+000
1.09683640e-001, -1.01265287e+000
1.12676144e-001, -1.01573050e+000
1.15698867e-001, -1.01878107e+000
1.18721873e-001, -1.02177930e+000
1.21770144e-001, -1.02466285e+000
1.24818645e-001, -1.02741671e+000
1.27887398e-001, -1.03004384e+000
1.30956337e-001, -1.03263319e+000
1.34040490e-001, -1.03525996e+000
1.37124777e-001, -1.03795338e+000
1.40219256e-001, -1.04068375e+000
1.43313810e-001, -1.04341006e+000
1.46448031e-001, -1.04607964e+000
1.49582282e-001, -1.04869628e+000
1.52724564e-001, -1.05121088e+000
1.55866832e-001, -1.05358791e+000
1.58756375e-001, -1.05588055e+000
1.61645859e-001, -1.05796766e+000
1.64151996e-001, -1.05999553e+000
1.66658059e-001, -1.06181431e+000
1.69016629e-001, -1.06351542e+000
1.71375126e-001, -1.06506312e+000
1.73645109e-001, -1.06654620e+000
1.75914988e-001, -1.06792891e+000
1.78111091e-001, -1.06928778e+000
1.80307075e-001, -1.07058275e+000
1.82458758e-001, -1.07181597e+000
1.84610337e-001, -1.07298601e+000
1.86717585e-001, -1.07412720e+000
1.88824728e-001, -1.07523286e+000
1.90917000e-001, -1.07633257e+000
1.93009153e-001, -1.07743716e+000
1.95071712e-001, -1.07856357e+000
1.97134122e-001, -1.07967913e+000
1.99166924e-001, -1.08077180e+000
2.01199576e-001, -1.08176339e+000
2.03232065e-001, -1.08252537e+000
2.05264390e-001, -1.08288503e+000
2.07267076e-001, -1.08291745e+000
2.09269598e-001, -1.08211505e+000
2.11271927e-001, -1.07964921e+000
2.13274062e-001, -1.07417965e+000
2.15261251e-001, -1.06356442e+000
2.17248246e-001, -1.04424107e+000
2.19235003e-001, -1.01114011e+000
2.21221521e-001, -9.59269643e-001
2.23193079e-001, -8.87432337e-001
2.25164384e-001, -8.01806748e-001
2.27135435e-001, -7.18277514e-001
2.29106188e-001, -6.53512299e-001
2.31091365e-001, -6.13438010e-001
2.33076245e-001, -5.93992949e-001
2.35046118e-001, -5.88358104e-001
2.37015665e-001, -5.88737428e-001
2.38984898e-001, -5.92314303e-001
2.40953788e-001, -5.99565506e-001
2.42922321e-001, -6.06283486e-001
2.44890481e-001, -6.09236360e-001
2.46858269e-001, -6.09537899e-001
2.48825669e-001, -6.06307805e-001
2.50792682e-001, -5.99837065e-001
2.52759278e-001, -5.91675878e-001
2.54740119e-001, -5.83498418e-001
2.56720543e-001, -5.76591671e-001
2.58700520e-001, -5.71339369e-001
2.60680079e-001, -5.67429841e-001
2.62673825e-001, -5.64150751e-001
2.64667124e-001, -5.60805440e-001
2.66659975e-001, -5.56738973e-001
2.68652350e-001, -5.51507354e-001
2.70644248e-001, -5.45000315e-001
2.72635728e-001, -5.37444174e-001
2.74641365e-001, -5.29198587e-001
