[Name]
Series 1 at /POLYLINE:PressurePorts

[Data]
X [ m ],shearwall [ Pa ]
1.00777857e-001, 1.21831093e+002
1.03734463e-001, 1.21438904e+002
1.06691487e-001, 1.21020287e+002
1.09683640e-001, 1.20621284e+002
1.12676144e-001, 1.20201447e+002
1.15698867e-001, 1.19803459e+002
1.18721873e-001, 1.19394234e+002
1.21770144e-001, 1.18995033e+002
1.24818645e-001, 1.18592278e+002
1.27887398e-001, 1.18210350e+002
1.30956337e-001, 1.17883568e+002
1.34040490e-001, 1.17603027e+002
1.37124777e-001, 1.17314148e+002
1.40219256e-001, 1.17009033e+002
1.43313810e-001, 1.16722404e+002
1.46448031e-001, 1.16436211e+002
1.49582282e-001, 1.16158943e+002
1.52724564e-001, 1.15840607e+002
1.55866832e-001, 1.15426018e+002
1.58756375e-001, 1.15050858e+002
1.61645859e-001, 1.14742111e+002
1.64151996e-001, 1.14383774e+002
1.66658059e-001, 1.14409492e+002
1.69016629e-001, 1.14174675e+002
1.71375126e-001, 1.14121346e+002
1.73645109e-001, 1.13928802e+002
1.75914988e-001, 1.13787926e+002
1.78111091e-001, 1.13671623e+002
1.80307075e-001, 1.13499596e+002
1.82458758e-001, 1.13334610e+002
1.84610337e-001, 1.13203064e+002
1.86717585e-001, 1.13059174e+002
1.88824728e-001, 1.12956497e+002
1.90917000e-001, 1.12837700e+002
1.93009153e-001, 1.12733261e+002
1.95071712e-001, 1.12624603e+002
1.97134122e-001, 1.12517151e+002
1.99166924e-001, 1.12414337e+002
2.01199576e-001, 1.12339561e+002
2.03232065e-001, 1.12248436e+002
2.05264390e-001, 1.12138969e+002
2.07267076e-001, 1.12016747e+002
2.09269598e-001, 1.11911613e+002
2.11271927e-001, 1.11734001e+002
2.13274062e-001, 1.11358643e+002
2.15261251e-001, 1.10875961e+002
2.17248246e-001, 1.10184471e+002
2.19235003e-001, 1.09061966e+002
2.21221521e-001, 1.06924713e+002
2.23193079e-001, 1.03224236e+002
2.25164384e-001, 9.68214035e+001
2.27135435e-001, 8.66117096e+001
2.29106188e-001, 7.22489929e+001
2.31091365e-001, 5.46208534e+001
2.33076245e-001, 3.81675339e+001
2.35046118e-001, 2.68470173e+001
2.37015665e-001, 2.26176796e+001
2.38984898e-001, 2.33178654e+001
2.40953788e-001, 2.75361252e+001
2.42922321e-001, 3.38244438e+001
2.44890481e-001, 4.05551186e+001
2.46858269e-001, 4.66396027e+001
2.48825669e-001, 5.17210236e+001
2.50792682e-001, 5.50926361e+001
2.52759278e-001, 5.70801315e+001
2.54740119e-001, 5.79462509e+001
2.56720543e-001, 5.76646881e+001
2.58700520e-001, 5.69501419e+001
2.60680079e-001, 5.65889473e+001
2.62673825e-001, 5.68754044e+001
2.64667124e-001, 5.76570930e+001
2.66659975e-001, 5.85892792e+001
2.68652350e-001, 5.94030380e+001
2.70644248e-001, 5.99491959e+001
2.72635728e-001, 6.02090569e+001
2.74641365e-001, 6.02294617e+001
2.76646525e-001, 6.00717392e+001
2.78665870e-001, 5.98123932e+001
2.80684739e-001, 5.95157585e+001
2.82717764e-001, 5.91929932e+001
2.84750313e-001, 5.89045677e+001
2.86797047e-001, 5.86562920e+001
2.88843274e-001, 5.84445839e+001
2.90903628e-001, 5.82580681e+001
2.92963505e-001, 5.80672684e+001
2.95052081e-001, 5.78486519e+001
2.97140181e-001, 5.75409851e+001
2.99256980e-001, 5.71662064e+001
3.01373243e-001, 5.67635956e+001
3.03503603e-001, 5.63333435e+001
3.05633456e-001, 5.59321556e+001
3.07791919e-001, 5.54860916e+001
3.09949845e-001, 5.50698853e+001
3.12150955e-001, 5.46724510e+001
3.14351529e-001, 5.42465706e+001
3.16609800e-001, 5.37977066e+001
3.18867475e-001, 5.33028374e+001
3.21168214e-001, 5.27672958e+001
3.23468328e-001, 5.22448349e+001
3.25840592e-001, 5.16988678e+001
3.28212142e-001, 5.11200104e+001
3.30670267e-001, 5.05291557e+001
3.33127648e-001, 4.98792915e+001
3.35715115e-001, 4.92037163e+001
3.38301778e-001, 4.85082893e+001
3.41047406e-001, 4.78019943e+001
3.43792170e-001, 4.70716019e+001
3.46768260e-001, 4.62974243e+001
3.49743247e-001, 4.54155655e+001
3.52978230e-001, 4.44481163e+001


