[Name]
Series 1 at /POLYLINE:outlet

[Data]
Velocity [ m s^-1 ],Y [ m ]
2.34491425e+002, -1.54909641e-002
2.34524277e+002, -1.53138665e-002
2.34561249e+002, -1.51147507e-002
2.34598282e+002, -1.49156349e-002
2.34639969e+002, -1.46919908e-002
2.34681732e+002, -1.44683467e-002
2.34728714e+002, -1.42173935e-002
2.34775818e+002, -1.39664412e-002
2.34828705e+002, -1.36850998e-002
2.34881760e+002, -1.34037565e-002
2.34941284e+002, -1.30886128e-002
2.35001007e+002, -1.27734691e-002
2.35068024e+002, -1.24207456e-002
2.35135193e+002, -1.20680220e-002
2.35210556e+002, -1.16735362e-002
2.35286163e+002, -1.12790503e-002
2.35370850e+002, -1.08381771e-002
2.35455765e+002, -1.03973020e-002
2.35550873e+002, -9.90492012e-003
2.35646149e+002, -9.41253826e-003
2.35752655e+002, -8.86298530e-003
2.35859222e+002, -8.31343234e-003
2.35977997e+002, -7.70044886e-003
2.36096268e+002, -7.08746491e-003
2.36226715e+002, -6.40412979e-003
2.36353790e+002, -5.72079513e-003
2.36485794e+002, -4.95946035e-003
2.36595810e+002, -4.19812463e-003
2.36674576e+002, -3.35033843e-003
2.36712830e+002, -2.50255223e-003
2.36734924e+002, -1.55897858e-003
2.36751709e+002, -6.15405152e-004
2.36768921e+002, 4.34266432e-004
2.36785370e+002, 1.48393796e-003
2.36802902e+002, 2.65109329e-003
2.36819641e+002, 3.81824840e-003
2.36837341e+002, 5.11545688e-003
2.36854095e+002, 6.41266489e-003
2.36871689e+002, 7.85380043e-003
2.36888199e+002, 9.29493457e-003
2.36905273e+002, 1.08953072e-002
2.36921127e+002, 1.24956788e-002
2.36937378e+002, 1.42721813e-002
2.36952225e+002, 1.60486829e-002
2.36967316e+002, 1.80199482e-002
2.36980911e+002, 1.99912153e-002
2.36994583e+002, 2.21778005e-002
2.37006836e+002, 2.43643839e-002
2.37018967e+002, 2.67889537e-002
2.37029541e+002, 2.92135198e-002
2.37039978e+002, 3.19010615e-002
2.37048981e+002, 3.45886052e-002
2.37057709e+002, 3.75666656e-002
2.37065033e+002, 4.05447334e-002
2.37072006e+002, 4.38436829e-002
2.37077728e+002, 4.71426323e-002
2.37082916e+002, 5.07959351e-002
2.37086990e+002, 5.44492379e-002
2.37090454e+002, 5.84937558e-002
2.37093018e+002, 6.25382811e-002
2.37095032e+002, 6.70146495e-002
2.37096344e+002, 7.14910179e-002
2.37097214e+002, 7.64439702e-002
2.37097626e+002, 8.13969299e-002
2.37097778e+002, 8.68757665e-002
2.37097748e+002, 9.23545957e-002
2.37097534e+002, 9.84135717e-002
2.37097229e+002, 1.04472555e-001
2.37096817e+002, 1.11171439e-001
2.37096420e+002, 1.17870331e-001
2.37095963e+002, 1.25274926e-001
2.37095612e+002, 1.32679507e-001
2.37095169e+002, 1.40862212e-001
2.37094833e+002, 1.49044931e-001
2.37094345e+002, 1.58085465e-001
2.37093994e+002, 1.67126015e-001
2.37093582e+002, 1.77112117e-001
2.37093185e+002, 1.87098235e-001
2.37092758e+002, 1.98126435e-001
2.37092407e+002, 2.09154636e-001
2.37091965e+002, 2.21331149e-001
2.37091583e+002, 2.33507663e-001
2.37091248e+002, 2.46949330e-001
2.37090973e+002, 2.60390997e-001
2.37090698e+002, 2.75226355e-001
2.37090500e+002, 2.90061712e-001
2.37090332e+002, 3.06432158e-001
2.37090240e+002, 3.22802573e-001
2.37090179e+002, 3.40863526e-001
2.37090149e+002, 3.58924508e-001
2.37090149e+002, 3.78846973e-001
2.37090149e+002, 3.98769438e-001
2.37090210e+002, 4.20741409e-001
2.37090286e+002, 4.42713380e-001
2.37090378e+002, 4.66941535e-001
2.37090424e+002, 4.91169661e-001
2.37090439e+002, 5.17881155e-001
2.37090485e+002, 5.44592738e-001
2.37090485e+002, 5.74037313e-001
2.37090500e+002, 6.03482008e-001
2.37090561e+002, 6.35934234e-001
2.37090546e+002, 6.68386519e-001
2.37090546e+002, 7.04148054e-001
2.37090485e+002, 7.39909589e-001
2.37090408e+002, 7.79311895e-001
2.37090347e+002, 8.18714261e-001
2.37090240e+002, 8.62121582e-001
2.37090149e+002, 9.05528903e-001
2.37089996e+002, 9.53341484e-001
2.37089798e+002, 1.00115395e+000
2.37089661e+002, 1.05381155e+000
2.37089569e+002, 1.10646892e+000
2.37089279e+002, 1.16445422e+000
2.37089020e+002, 1.22243953e+000
2.37088684e+002, 1.28628325e+000
2.37088348e+002, 1.35012698e+000
2.37087982e+002, 1.42041159e+000
2.37087555e+002, 1.49069619e+000
2.37087158e+002, 1.56806183e+000
2.37086655e+002, 1.64542735e+000
2.37086105e+002, 1.73057652e+000
2.37085617e+002, 1.81572568e+000
2.37085007e+002, 1.90943015e+000
2.37084366e+002, 2.00313425e+000
2.37083633e+002, 2.10624123e+000
2.37082855e+002, 2.20934820e+000
2.37081955e+002, 2.32278728e+000
2.37081039e+002, 2.43622684e+000
2.37080002e+002, 2.56101942e+000
2.37079041e+002, 2.68581247e+000
2.37077972e+002, 2.82308006e+000
2.37077057e+002, 2.96034765e+000
2.37075867e+002, 3.11132002e+000
2.37074936e+002, 3.26229239e+000
2.37073975e+002, 3.42831993e+000
2.37073196e+002, 3.59434772e+000
2.37072647e+002, 3.77691269e+000
2.37072723e+002, 3.95947790e+000
2.37073349e+002, 4.16020679e+000
2.37074997e+002, 4.36093569e+000
2.37078201e+002, 4.58161354e+000
2.37082916e+002, 4.80229092e+000
2.37089935e+002, 5.04487514e+000
2.37096252e+002, 5.28745985e+000
2.37102707e+002, 5.55410004e+000
2.37111740e+002, 5.82074022e+000


