[Name]
Series 1 at /POLYLINE:outlet

[Data]
Velocity [ m s^-1 ],Y [ m ]
2.36756714e+002, 3.75666656e-002
2.36760742e+002, 4.05447334e-002
2.36764160e+002, 4.38436829e-002
2.36766968e+002, 4.71426323e-002
2.36769272e+002, 5.07959351e-002
2.36771011e+002, 5.44492379e-002
2.36772186e+002, 5.84937558e-002
2.36772858e+002, 6.25382811e-002
2.36773163e+002, 6.70146495e-002
2.36773163e+002, 7.14910179e-002
2.36772873e+002, 7.64439702e-002
2.36772446e+002, 8.13969299e-002
2.36771866e+002, 8.68757665e-002
2.36771194e+002, 9.23545957e-002
2.36770432e+002, 9.84135717e-002
2.36769577e+002, 1.04472555e-001
2.36768631e+002, 1.11171439e-001
2.36767639e+002, 1.17870331e-001
2.36766586e+002, 1.25274926e-001
2.36765488e+002, 1.32679507e-001
2.36764297e+002, 1.40862212e-001
2.36763107e+002, 1.49044931e-001
2.36761795e+002, 1.58085465e-001
2.36760437e+002, 1.67126015e-001
2.36759003e+002, 1.77112117e-001
2.36757523e+002, 1.87098235e-001
2.36755936e+002, 1.98126435e-001
2.36754333e+002, 2.09154636e-001
2.36752625e+002, 2.21331149e-001
2.36750900e+002, 2.33507663e-001
2.36749069e+002, 2.46949330e-001
2.36747223e+002, 2.60390997e-001
2.36745270e+002, 2.75226355e-001
2.36743317e+002, 2.90061712e-001
2.36741287e+002, 3.06432158e-001
2.36739349e+002, 3.22802573e-001
2.36737366e+002, 3.40863526e-001
2.36735382e+002, 3.58924508e-001
2.36733231e+002, 3.78846973e-001
2.36731033e+002, 3.98769438e-001
2.36728668e+002, 4.20741409e-001
2.36726318e+002, 4.42713380e-001
2.36723907e+002, 4.66941535e-001
2.36721603e+002, 4.91169661e-001
2.36719254e+002, 5.17881155e-001
2.36717026e+002, 5.44592738e-001
2.36714706e+002, 5.74037313e-001
2.36712524e+002, 6.03482008e-001
2.36710220e+002, 6.35934234e-001
2.36708023e+002, 6.68386519e-001
2.36705765e+002, 7.04148054e-001
2.36703629e+002, 7.39909589e-001
2.36701477e+002, 7.79311895e-001
2.36699493e+002, 8.18714261e-001
2.36697479e+002, 8.62121582e-001
2.36695679e+002, 9.05528903e-001
2.36693954e+002, 9.53341484e-001
2.36692551e+002, 1.00115395e+000
2.36691269e+002, 1.05381155e+000
2.36690369e+002, 1.10646892e+000
2.36689651e+002, 1.16445422e+000
2.36689407e+002, 1.22243953e+000
2.36689499e+002, 1.28628325e+000
2.36690216e+002, 1.35012698e+000
2.36691376e+002, 1.42041159e+000
2.36693085e+002, 1.49069619e+000
2.36695190e+002, 1.56806183e+000
2.36697678e+002, 1.64542735e+000
2.36700302e+002, 1.73057652e+000
2.36703156e+002, 1.81572568e+000
2.36706253e+002, 1.90943015e+000
2.36709778e+002, 2.00313425e+000
2.36713959e+002, 2.10624123e+000
2.36718735e+002, 2.20934820e+000
2.36724075e+002, 2.32278728e+000
2.36729950e+002, 2.43622684e+000
2.36736694e+002, 2.56101942e+000
2.36744431e+002, 2.68581247e+000
2.36753281e+002, 2.82308006e+000
2.36763168e+002, 2.96034765e+000
2.36775452e+002, 3.11132002e+000
2.36790863e+002, 3.26229239e+000
2.36810471e+002, 3.42831993e+000
2.36835114e+002, 3.59434772e+000
2.36866135e+002, 3.77691269e+000
2.36902832e+002, 3.95947790e+000
2.36945923e+002, 4.16020679e+000
2.36990524e+002, 4.36093569e+000
2.37037109e+002, 4.58161354e+000
2.37076584e+002, 4.80229092e+000
2.37111176e+002, 5.04487514e+000
2.37133179e+002, 5.28745985e+000
2.37152008e+002, 5.55410004e+000
2.37172729e+002, 5.82074022e+000


