[Name]
Series 1 at PressurePorts

[Data]
X [ m ],yplus
2.90903628e-001, 2.77636468e-001
2.92963505e-001, 2.77613133e-001
2.95052081e-001, 2.77531028e-001
2.97140181e-001, 2.77233750e-001
2.99256980e-001, 2.76141644e-001
3.01373243e-001, 2.75625616e-001
3.03503603e-001, 2.75697708e-001
3.05633456e-001, 2.75191694e-001
3.07791919e-001, 2.73290664e-001
3.09949845e-001, 2.70274520e-001
3.12150955e-001, 2.69767940e-001
3.14351529e-001, 2.72909045e-001
3.16609800e-001, 2.69073069e-001
3.18867475e-001, 2.68309355e-001
3.21168214e-001, 2.70926535e-001
3.23468328e-001, 2.69756734e-001
3.25840592e-001, 2.68849820e-001
3.28212142e-001, 2.67843395e-001
3.30670267e-001, 2.66816109e-001
3.33127648e-001, 2.68959403e-001
3.35715115e-001, 2.67689824e-001
3.38301778e-001, 2.66709536e-001
3.41047406e-001, 2.58246124e-001
3.43792170e-001, 2.56832957e-001
3.46768260e-001, 2.58971870e-001
3.49743247e-001, 2.57092774e-001
3.52978230e-001, 2.55004168e-001


